Arachniotus ruber
Arachnocrea stipata
Arachnomyces nitidus
Arachnopeziza aurelia
Arachnopezizella aurata
Dasyscyphus aranea
Arachnotheca glomerata
Asterina pleurostyliae
Arcangelia hepaticarum
Arctoheppia scholanderi
Arctomia delicatula
Arenaea javanica
Arenariomyces trifurcatus
Areolospora terrophila
Argopsis megalospora
Argynna polyhedron
Ariefia paradoxa
Armata macrospora
Armatella litseae
Arnaudia quercina
Arnaudiella caronae
Arniella echoura
Arnium lanuginosum
Arnoldia cyathodes
Arpinia inops
Arrhenosphaera craneae
Artallendea cinnamomi
Arthonaria fraxini
Arthonia radiata
Arthoniactis ostrearum
Arthoniomyces punctiformis
Arthoniopsis accolens
Arthopyrenia rhyponta
Arthopyreniella cinerescens
Arthopyreniomyces analeptae
Arthotheliomyces ruani
Arthotheliopsidomyces hymenocarpoidis
Arthotheliopsis hymenocarpoides
Arthothelium scandinavicum
Arthroascus javanensis
Arthrocladia lycii
Arthrocladiella lycii
Arthroderma curreyi
Arthrorhaphis flavovirescens
Arthrorhynchus nycteribiae
Arthrosporum populorum
Arwidssonia empetri
Asahinea chrysantha
Asaphomyces cholevae
Ascidium cinchonarum
Ascluella symplocina
Ascobolus pezizoides
Ascocalathium stipitatum
Ascocalvatia alveolata
Ascocalyx abietis
Ascoclavulina sakaii
Ascocorticiellum vermisporum
Ascocorticium albidum
Ascocoryne sarcoides
Ascocorynium irregulare
Ascocybe grovesii
Ascodesmis aurea
Ascodichaena rugosa
Ascographa hederae
Ascohansfordiellopsis deightonii
Ascoidea rubescens
Ascolanthanus trisporus
Ascomyces caerulescens
Ascomycetella quercina
Ascomycetella quercina
Ascophanella cinerea
Ascophanopsis perplexans
Ascophanus granuliformis
Ascopolyporus polychrous
Ascorhiza leguminosarum
Ascoscleroderma cyanosporum
Ascosorus floridanus
Ascosparassis shimizuensis
Ascosphaera apis
Sphaeria aegopodii
Ascosporium deformans
Ascostratum insigne
Ascotremella faginea
Ascotremellopsis bambusicola
Ascotricha chartarum
Ascoverticillata indica
Ascoxyta quercina
Ascozonus cunicularius
Ashbya gossypii
Ashbya gossypii
Asirosiphon densatulum
Aspicilia cinerea
Aspiciliella intermutans
Aspiciliomyces calcareae
Aspiciliopsis macrophthalma
Aspidelia beckettii
Aspidopyrenis insignis
Aspidopyrenium insigne
Aspidothea blechni
Aspidotheliomyces cinerascentis
Aspidothelium cinerascens
Cortinomyces luteus
Assoa fertilissima
Asterella
Asterella
Asteridiella solani
Asteridiellina portoricensis
Asteridium pleurostyliae
Asterina melastomatis
Asterinella puiggarii
Asterinema caseariae
Asterinopeltis pulcherrima
Asterinotheca popowiae
Asteristion erumpens
Asteristion erumpens
Asteritea roureae
Asterocalyx mirabilis
Asterodothis solaris
Asterolibertia couepiae
Asteromassaria macrospora
Asteromyxa hirtula
Asteronaevia trichophori
Asteronia sweetiae
Asteropeltis ulei
