#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Bordetella trematum	Bacteria	Proteobacteria	Betaproteobacteria	4.46463	-	-	-	1
Borrelia	Bacteria	Spirochaetes	Spirochaetia	1.28178	-	-	9	1
Borrelia afzelii	Bacteria	Spirochaetes	Spirochaetia	1.40429	1	-	17	9
Borrelia anserina	Bacteria	Spirochaetes	Spirochaetia	1.14735	1	-	-	1
Borrelia bavariensis	Bacteria	Spirochaetes	Spirochaetia	0.986914	1	-	2	1
Borrelia bissettii	Bacteria	Spirochaetes	Spirochaetia	1.40344	1	-	16	1
Borrelia burgdorferi	Bacteria	Spirochaetes	Spirochaetia	1.79836	1	-	21	41
Borrelia coriaceae	Bacteria	Spirochaetes	Spirochaetia	1.73048	1	-	-	2
Borrelia crocidurae	Bacteria	Spirochaetes	Spirochaetia	1.767	1	-	39	2
Borrelia duttonii	Bacteria	Spirochaetes	Spirochaetia	1.64095	1	-	16	2
Borrelia garinii	Bacteria	Spirochaetes	Spirochaetia	1.26559	1	-	11	40
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	1.39461	1	-	1	4
Borrelia hispanica	Bacteria	Spirochaetes	Spirochaetia	1.78385	-	-	-	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	1.37999	1	-	-	2
Borrelia parkeri	Bacteria	Spirochaetes	Spirochaetia	1.05329	1	-	-	2
Borrelia persica	Bacteria	Spirochaetes	Spirochaetia	1.78498	-	-	-	1
Borrelia recurrentis	Bacteria	Spirochaetes	Spirochaetia	1.24216	1	-	7	1
Borrelia spielmanii	Bacteria	Spirochaetes	Spirochaetia	1.25256	-	-	8	1
Borrelia turicatae	Bacteria	Spirochaetes	Spirochaetia	0.91733	1	-	1	1
Borrelia valaisiana	Bacteria	Spirochaetes	Spirochaetia	1.25886	1	-	11	2
Bosea	Bacteria	Proteobacteria	Alphaproteobacteria	6.56403	-	-	-	3
Brachybacterium faecium	Bacteria	Actinobacteria	Actinobacteria	3.61499	1	-	-	1
Brachybacterium muris	Bacteria	Actinobacteria	Actinobacteria	3.25747	-	-	-	1
Brachybacterium paraconglomeratum	Bacteria	Actinobacteria	Actinobacteria	3.78448	-	-	-	1
Brachybacterium phenoliresistens	Bacteria	Actinobacteria	Actinobacteria	4.18816	-	-	-	1
Brachybacterium squillarum	Bacteria	Actinobacteria	Actinobacteria	3.19148	-	-	-	1
Brachymonas chironomi	Bacteria	Proteobacteria	Betaproteobacteria	2.50356	-	-	-	1
Brachyspira alvinipulli	Bacteria	Spirochaetes	Spirochaetia	3.42076	-	-	-	1
Brachyspira hampsonii	Bacteria	Spirochaetes	Spirochaetia	3.03735	-	-	-	2
Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	3.05049	1	-	1	2
Brachyspira innocens	Bacteria	Spirochaetes	Spirochaetia	3.28161	-	-	-	1
Brachyspira intermedia	Bacteria	Spirochaetes	Spirochaetia	3.30805	1	-	1	1
Brachyspira murdochii	Bacteria	Spirochaetes	Spirochaetia	3.2418	1	-	-	1
Brachyspira pilosicoli	Bacteria	Spirochaetes	Spirochaetia	2.88952	1	-	-	4
Brackiella oedipodis	Bacteria	Proteobacteria	Betaproteobacteria	1.9221	-	-	-	1
Bradyrhizobiaceae bacterium SG-6C	Bacteria	Proteobacteria	Alphaproteobacteria	4.33639	1	-	-	1
Bradyrhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	10.1181	1	-	1	38
Bradyrhizobium diazoefficiens	Bacteria	Proteobacteria	Alphaproteobacteria	9.10583	1	-	-	2
Bradyrhizobium elkanii	Bacteria	Proteobacteria	Alphaproteobacteria	9.90236	-	-	-	9
Bradyrhizobium genosp. SA-4	Bacteria	Proteobacteria	Alphaproteobacteria	9.82688	-	-	-	1
Bradyrhizobium japonicum	Bacteria	Proteobacteria	Alphaproteobacteria	10.4577	1	-	-	17
Bradyrhizobium liaoningense	Bacteria	Proteobacteria	Alphaproteobacteria	8.16412	-	-	-	2
Bradyrhizobium oligotrophicum	Bacteria	Proteobacteria	Alphaproteobacteria	8.26417	1	-	-	1
Bradyrhizobium yuanmingense	Bacteria	Proteobacteria	Alphaproteobacteria	8.24575	-	-	-	3
BRC1 bacterium SCGC AAA252-M09	Bacteria	unclassified Bacteria	candidate division BRC1	1.17425	-	-	-	1
BRC1 bacterium SCGC AAA257-C11	Bacteria	unclassified Bacteria	candidate division BRC1	2.38373	-	-	-	1
Brenneria	Bacteria	Proteobacteria	Gammaproteobacteria	4.94377	1	-	-	1
Brevibacillus	Bacteria	Firmicutes	Bacilli	6.27908	-	-	-	2
Brevibacillus agri	Bacteria	Firmicutes	Bacilli	5.51372	-	-	-	2
Brevibacillus borstelensis	Bacteria	Firmicutes	Bacilli	5.4642	-	-	1	3
Brevibacillus brevis	Bacteria	Firmicutes	Bacilli	6.58949	1	-	1	3
Brevibacillus laterosporus	Bacteria	Firmicutes	Bacilli	5.27801	-	-	2	5
Brevibacillus massiliensis	Bacteria	Firmicutes	Bacilli	5.06036	-	-	-	1
Brevibacillus panacihumi	Bacteria	Firmicutes	Bacilli	5.54594	-	-	-	1
Brevibacillus thermoruber	Bacteria	Firmicutes	Bacilli	4.92847	-	-	-	2
Brevibacterium	Bacteria	Actinobacteria	Actinobacteria	3.86361	-	-	1	1
Brevibacterium album	Bacteria	Actinobacteria	Actinobacteria	4.09497	-	-	-	1
Brevibacterium casei	Bacteria	Actinobacteria	Actinobacteria	3.66464	-	-	-	1
Brevibacterium linens	Bacteria	Actinobacteria	Actinobacteria	4.36697	-	-	1	1
Brevibacterium massiliense	Bacteria	Actinobacteria	Actinobacteria	2.34926	-	-	-	1
Brevibacterium mcbrellneri	Bacteria	Actinobacteria	Actinobacteria	2.5618	-	-	-	1
Brevibacterium senegalense	Bacteria	Actinobacteria	Actinobacteria	3.42733	-	-	-	1
Brevundimonas	Bacteria	Proteobacteria	Alphaproteobacteria	3.64607	-	-	-	2
Brevundimonas abyssalis	Bacteria	Proteobacteria	Alphaproteobacteria	2.97923	-	-	-	1
Brevundimonas aveniformis	Bacteria	Proteobacteria	Alphaproteobacteria	2.57957	-	-	-	1
Brevundimonas bacteroides	Bacteria	Proteobacteria	Alphaproteobacteria	3.22054	-	-	-	1
Brevundimonas diminuta	Bacteria	Proteobacteria	Alphaproteobacteria	3.36932	-	-	-	2
Brevundimonas naejangsanensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.16452	-	-	-	2
Brevundimonas subvibrioides	Bacteria	Proteobacteria	Alphaproteobacteria	3.44526	1	-	-	1
Brochothrix campestris	Bacteria	Firmicutes	Bacilli	2.37285	-	-	-	1
Brochothrix thermosphacta	Bacteria	Firmicutes	Bacilli	2.52912	-	-	-	2
Brucella	Bacteria	Proteobacteria	Alphaproteobacteria	3.37643	-	-	-	16
Brucella abortus	Bacteria	Proteobacteria	Alphaproteobacteria	3.52854	2	-	-	150
Brucella canis	Bacteria	Proteobacteria	Alphaproteobacteria	3.31866	2	-	-	15
Brucella ceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.38927	2	-	-	9
Brucella inopinata	Bacteria	Proteobacteria	Alphaproteobacteria	3.36677	-	-	-	3
Brucella melitensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.3238	2	-	-	63
Brucella microti	Bacteria	Proteobacteria	Alphaproteobacteria	3.33737	2	-	-	1
Brucella neotomae	Bacteria	Proteobacteria	Alphaproteobacteria	3.32962	-	-	-	3
Brucella ovis	Bacteria	Proteobacteria	Alphaproteobacteria	3.31046	2	-	-	16
Brucella pinnipedialis	Bacteria	Proteobacteria	Alphaproteobacteria	3.40405	2	-	-	5
Brucella suis	Bacteria	Proteobacteria	Alphaproteobacteria	3.49328	2	-	-	55
Bryobacter aggregatus	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.74799	-	-	-	1
Buchnera aphidicola	Bacteria	Proteobacteria	Gammaproteobacteria	0.655725	1	-	14	18
Budvicia aquatica	Bacteria	Proteobacteria	Gammaproteobacteria	5.66873	-	-	-	1
Bulleidia extructa	Bacteria	Firmicutes	Erysipelotrichia	1.41958	-	-	-	1
Burkholderia	Bacteria	Proteobacteria	Betaproteobacteria	10.9184	3	-	3	41
Burkholderia acidipaludis	Bacteria	Proteobacteria	Betaproteobacteria	6.47543	-	-	-	1
Burkholderia ambifaria	Bacteria	Proteobacteria	Betaproteobacteria	7.85547	3	-	1	4
Burkholderia andropogonis	Bacteria	Proteobacteria	Betaproteobacteria	6.17866	-	-	-	1
Burkholderia bannensis	Bacteria	Proteobacteria	Betaproteobacteria	8.64877	-	-	-	1
Burkholderia bryophila	Bacteria	Proteobacteria	Betaproteobacteria	7.38182	-	-	-	1
Burkholderia caledonica	Bacteria	Proteobacteria	Betaproteobacteria	7.28235	-	-	-	1
Burkholderia caribensis	Bacteria	Proteobacteria	Betaproteobacteria	9.43603	-	-	-	1
Burkholderia cenocepacia	Bacteria	Proteobacteria	Betaproteobacteria	8.05578	3	-	1	14
Burkholderia cepacia	Bacteria	Proteobacteria	Betaproteobacteria	8.94713	3	-	3	8
Burkholderia dilworthii	Bacteria	Proteobacteria	Betaproteobacteria	7.67907	-	-	-	1
Burkholderia dolosa	Bacteria	Proteobacteria	Betaproteobacteria	6.4204	3	-	-	2
Burkholderia ferrariae	Bacteria	Proteobacteria	Betaproteobacteria	7.93864	-	-	-	1
Burkholderia fungorum	Bacteria	Proteobacteria	Betaproteobacteria	8.69621	-	-	-	1
Burkholderia ginsengisoli	Bacteria	Proteobacteria	Betaproteobacteria	6.54189	-	-	-	1
Burkholderia gladioli	Bacteria	Proteobacteria	Betaproteobacteria	9.0523	2	-	4	3
Burkholderia glathei	Bacteria	Proteobacteria	Betaproteobacteria	8.63738	-	-	-	2
Burkholderia glumae	Bacteria	Proteobacteria	Betaproteobacteria	7.28464	2	-	4	6
Burkholderia graminis	Bacteria	Proteobacteria	Betaproteobacteria	7.47726	-	-	-	1
Burkholderia grimmiae	Bacteria	Proteobacteria	Betaproteobacteria	6.7043	-	-	-	1
Burkholderia heleia	Bacteria	Proteobacteria	Betaproteobacteria	8.00747	-	-	-	1
Burkholderia kururiensis	Bacteria	Proteobacteria	Betaproteobacteria	7.12886	-	-	-	3
Burkholderia lata	Bacteria	Proteobacteria	Betaproteobacteria	8.67628	3	-	-	1
Burkholderia mallei	Bacteria	Proteobacteria	Betaproteobacteria	9.31283	2	-	-	25
Burkholderia mimosarum	Bacteria	Proteobacteria	Betaproteobacteria	8.64028	-	-	-	3
Burkholderia multivorans	Bacteria	Proteobacteria	Betaproteobacteria	7.28187	3	-	1	9
Burkholderia nodosa	Bacteria	Proteobacteria	Betaproteobacteria	9.62797	-	-	-	1
Burkholderia oklahomensis	Bacteria	Proteobacteria	Betaproteobacteria	7.31367	2	-	-	3
Burkholderia oxyphila	Bacteria	Proteobacteria	Betaproteobacteria	10.6477	-	-	-	1
Burkholderia phenoliruptrix	Bacteria	Proteobacteria	Betaproteobacteria	7.81103	2	-	1	2
Burkholderia phymatum	Bacteria	Proteobacteria	Betaproteobacteria	8.67656	2	-	2	1
Burkholderia phytofirmans	Bacteria	Proteobacteria	Betaproteobacteria	8.21466	2	-	1	1
Burkholderia pseudomallei	Bacteria	Proteobacteria	Betaproteobacteria	7.7498	2	-	1	102
Burkholderia pyrrocinia	Bacteria	Proteobacteria	Betaproteobacteria	8.0497	-	-	-	2
Burkholderia rhizoxinica	Bacteria	Proteobacteria	Betaproteobacteria	3.75014	1	-	2	1
Burkholderia sordidicola	Bacteria	Proteobacteria	Betaproteobacteria	10.2619	-	-	-	1
Burkholderia sprentiae	Bacteria	Proteobacteria	Betaproteobacteria	7.76106	-	-	-	1
Burkholderia terrae	Bacteria	Proteobacteria	Betaproteobacteria	11.2941	-	-	-	2
Burkholderia thailandensis	Bacteria	Proteobacteria	Betaproteobacteria	7.24599	2	-	-	13
Burkholderia ubonensis	Bacteria	Proteobacteria	Betaproteobacteria	6.93253	-	-	-	1
Burkholderia vietnamiensis	Bacteria	Proteobacteria	Betaproteobacteria	8.39107	3	-	5	1
Burkholderia xenovorans	Bacteria	Proteobacteria	Betaproteobacteria	9.73114	3	-	-	2
Burkholderia zhejiangensis	Bacteria	Proteobacteria	Betaproteobacteria	7.76722	-	-	-	1
Burkholderiales bacterium 1_1_47	Bacteria	Proteobacteria	Betaproteobacteria	2.65565	-	-	-	1
Burkholderiales bacterium JGI 0001002-H06	Bacteria	Proteobacteria	Betaproteobacteria	0.415398	-	-	-	1
Burkholderiales bacterium JGI 0001003-A5	Bacteria	Proteobacteria	Betaproteobacteria	0.686115	-	-	-	1
Burkholderiales bacterium JGI 0001003-J08	Bacteria	Proteobacteria	Betaproteobacteria	0.394907	-	-	-	1
Burkholderiales bacterium JGI 0001003-L21	Bacteria	Proteobacteria	Betaproteobacteria	0.070281	-	-	-	1
