#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
'Chrysanthemum coronarium' phytoplasma	Bacteria	Tenericutes	Mollicutes	0.739592	-	-	-	1
Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	2.04344	-	-	-	1
Acaricomes phytoseiuli	Bacteria	Actinobacteria	Actinobacteria	2.41952	-	-	-	1
Acaryochloris	Bacteria	Cyanobacteria	Oscillatoriophycideae	7.87548	-	-	-	1
Acaryochloris marina	Bacteria	Cyanobacteria	Oscillatoriophycideae	8.3616	1	-	9	1
Acetivibrio cellulolyticus	Bacteria	Firmicutes	Clostridia	6.15674	-	-	-	1
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.69077	-	-	2	3
Acetobacter malorum	Bacteria	Proteobacteria	Alphaproteobacteria	3.51343	-	-	-	1
Acetobacter nitrogenifigens	Bacteria	Proteobacteria	Alphaproteobacteria	4.27052	-	-	-	1
Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.16624	-	-	-	1
Acetobacter papayae	Bacteria	Proteobacteria	Alphaproteobacteria	3.04108	-	-	-	1
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	3.34025	1	-	7	13
Acetobacter persici	Bacteria	Proteobacteria	Alphaproteobacteria	3.70195	-	-	-	1
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	2.88342	-	-	-	2
Acetobacter tropicalis	Bacteria	Proteobacteria	Alphaproteobacteria	3.74669	-	-	-	2
Acetobacteraceae bacterium AT-5844	Bacteria	Proteobacteria	Alphaproteobacteria	5.19055	-	-	-	1
Acetobacterium dehalogenans	Bacteria	Firmicutes	Clostridia	4.05007	-	-	-	1
Acetobacterium woodii	Bacteria	Firmicutes	Clostridia	4.04478	1	-	-	1
Acetohalobium arabaticum	Bacteria	Firmicutes	Clostridia	2.4696	1	-	-	1
Acetonema longum	Bacteria	Firmicutes	Negativicutes	4.32301	-	-	-	1
Acetothermia bacterium SCGC AAA255-C06	Bacteria	unclassified Bacteria	Acetothermia	0.669384	-	-	-	1
Acholeplasma axanthum	Bacteria	Tenericutes	Mollicutes	1.80712	-	-	-	1
Acholeplasma equifetale	Bacteria	Tenericutes	Mollicutes	1.28237	-	-	-	1
Acholeplasma granularum	Bacteria	Tenericutes	Mollicutes	1.45354	-	-	-	1
Acholeplasma hippikon	Bacteria	Tenericutes	Mollicutes	1.43045	-	-	-	1
Acholeplasma laidlawii	Bacteria	Tenericutes	Mollicutes	1.49699	1	-	-	1
Acholeplasma modicum	Bacteria	Tenericutes	Mollicutes	1.21918	-	-	-	1
Acholeplasma multilocale	Bacteria	Tenericutes	Mollicutes	0.924993	-	-	-	1
Achromobacter	Bacteria	Proteobacteria	Betaproteobacteria	7.13895	-	-	-	2
Achromobacter arsenitoxydans	Bacteria	Proteobacteria	Betaproteobacteria	6.15666	-	-	-	1
Achromobacter piechaudii	Bacteria	Proteobacteria	Betaproteobacteria	6.8922	-	-	-	2
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	7.35915	1	-	2	6
Acidaminococcus	Bacteria	Firmicutes	Negativicutes	2.28786	-	-	-	3
Acidaminococcus fermentans	Bacteria	Firmicutes	Negativicutes	2.32977	1	-	-	1
Acidaminococcus intestini	Bacteria	Firmicutes	Negativicutes	2.48777	1	-	-	2
Acidicaldus organivorans	Bacteria	Proteobacteria	Alphaproteobacteria	2.98963	-	-	-	1
Acidimicrobium ferrooxidans	Bacteria	Actinobacteria	Actinobacteria	2.15816	1	-	-	1
Acidiphilium	Bacteria	Proteobacteria	Alphaproteobacteria	4.18836	-	-	-	2
Acidiphilium angustum	Bacteria	Proteobacteria	Alphaproteobacteria	4.17541	-	-	-	1
Acidiphilium cryptum	Bacteria	Proteobacteria	Alphaproteobacteria	3.96308	1	-	8	1
Acidiphilium multivorum	Bacteria	Proteobacteria	Alphaproteobacteria	4.21474	1	-	8	1
Acidithiobacillus	Bacteria	Proteobacteria	Gammaproteobacteria	3.17493	-	-	-	1
Acidithiobacillus caldus	Bacteria	Proteobacteria	Gammaproteobacteria	3.2376	1	-	4	2
Acidithiobacillus ferrivorans	Bacteria	Proteobacteria	Gammaproteobacteria	3.43367	1	-	-	2
Acidithiobacillus ferrooxidans	Bacteria	Proteobacteria	Gammaproteobacteria	2.9824	1	-	2	2
Acidithiobacillus thiooxidans	Bacteria	Proteobacteria	Gammaproteobacteria	3.9379	-	-	-	3
Acidobacteria bacterium JGI 0001001-H03	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	0.789133	-	-	-	1
Acidobacteria bacterium KBS 146	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.00104	-	-	-	1
Acidobacteriaceae bacterium KBS 83	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.25081	-	-	-	1
Acidobacteriaceae bacterium KBS 89	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.00993	-	-	-	1
Acidobacteriaceae bacterium KBS 96	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.69216	-	-	-	1
Acidobacteriaceae bacterium TAA166	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.13693	-	-	-	1
Acidobacteriaceae bacterium URHE0068	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.67919	-	-	-	1
Acidobacterium	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	3.68652	-	-	-	1
Acidobacterium capsulatum	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	4.12736	1	-	-	1
Acidocella	Bacteria	Proteobacteria	Alphaproteobacteria	3.62486	-	-	-	1
Acidocella facilis	Bacteria	Proteobacteria	Alphaproteobacteria	3.40393	-	-	-	1
Acidomonas methanolica	Bacteria	Proteobacteria	Alphaproteobacteria	3.69003	-	-	-	1
Acidothermus cellulolyticus	Bacteria	Actinobacteria	Actinobacteria	2.44354	1	-	-	1
Acidovorax	Bacteria	Proteobacteria	Betaproteobacteria	7.08623	1	-	2	7
Acidovorax avenae	Bacteria	Proteobacteria	Betaproteobacteria	5.52228	1	-	-	3
Acidovorax citrulli	Bacteria	Proteobacteria	Betaproteobacteria	5.35277	1	-	-	2
Acidovorax delafieldii	Bacteria	Proteobacteria	Betaproteobacteria	4.84209	-	-	-	1
Acidovorax ebreus	Bacteria	Proteobacteria	Betaproteobacteria	3.79657	1	-	-	1
Acidovorax oryzae	Bacteria	Proteobacteria	Betaproteobacteria	5.52678	-	-	-	1
Acidovorax radicis	Bacteria	Proteobacteria	Betaproteobacteria	5.53023	-	-	-	2
Acinetobacter	Bacteria	Proteobacteria	Gammaproteobacteria	4.90237	1	-	1	69
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	6.04643	1	-	14	823
Acinetobacter baylyi	Bacteria	Proteobacteria	Gammaproteobacteria	3.7469	-	-	-	3
Acinetobacter beijerinckii	Bacteria	Proteobacteria	Gammaproteobacteria	3.56333	-	-	-	2
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	5.02653	-	-	1	4
Acinetobacter bohemicus	Bacteria	Proteobacteria	Gammaproteobacteria	3.65769	-	-	-	1
Acinetobacter bouvetii	Bacteria	Proteobacteria	Gammaproteobacteria	3.38882	-	-	-	2
Acinetobacter brisouii	Bacteria	Proteobacteria	Gammaproteobacteria	3.14851	-	-	-	2
Acinetobacter calcoaceticus	Bacteria	Proteobacteria	Gammaproteobacteria	4.10541	1	-	2	12
Acinetobacter gerneri	Bacteria	Proteobacteria	Gammaproteobacteria	4.59517	-	-	-	3
Acinetobacter guillouiae	Bacteria	Proteobacteria	Gammaproteobacteria	4.90577	-	-	-	4
Acinetobacter gyllenbergii	Bacteria	Proteobacteria	Gammaproteobacteria	4.55135	-	-	-	3
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	3.7152	-	-	-	7
Acinetobacter indicus	Bacteria	Proteobacteria	Gammaproteobacteria	3.21164	-	-	-	2
Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	3.69001	-	-	-	5
Acinetobacter junii	Bacteria	Proteobacteria	Gammaproteobacteria	3.78235	-	-	-	7
Acinetobacter lwoffii	Bacteria	Proteobacteria	Gammaproteobacteria	3.67768	1	-	3	9
Acinetobacter nectaris	Bacteria	Proteobacteria	Gammaproteobacteria	2.66894	-	-	-	1
Acinetobacter nosocomialis	Bacteria	Proteobacteria	Gammaproteobacteria	4.19141	-	-	2	8
Acinetobacter oleivorans	Bacteria	Proteobacteria	Gammaproteobacteria	4.15254	1	-	-	2
Acinetobacter parvus	Bacteria	Proteobacteria	Gammaproteobacteria	3.01896	-	-	-	3
Acinetobacter pittii	Bacteria	Proteobacteria	Gammaproteobacteria	4.10382	-	-	1	9
Acinetobacter radioresistens	Bacteria	Proteobacteria	Gammaproteobacteria	3.36608	-	-	4	8
Acinetobacter rudis	Bacteria	Proteobacteria	Gammaproteobacteria	5.31616	-	-	-	2
Acinetobacter schindleri	Bacteria	Proteobacteria	Gammaproteobacteria	3.4149	-	-	-	3
Acinetobacter soli	Bacteria	Proteobacteria	Gammaproteobacteria	3.49815	-	-	-	4
Acinetobacter tandoii	Bacteria	Proteobacteria	Gammaproteobacteria	4.07892	-	-	-	3
Acinetobacter tjernbergiae	Bacteria	Proteobacteria	Gammaproteobacteria	3.69238	-	-	-	3
Acinetobacter towneri	Bacteria	Proteobacteria	Gammaproteobacteria	2.95235	-	-	-	3
Acinetobacter ursingii	Bacteria	Proteobacteria	Gammaproteobacteria	3.82548	-	-	-	4
Acinetobacter venetianus	Bacteria	Proteobacteria	Gammaproteobacteria	3.54451	1	-	2	3
Actibacterium	Bacteria	Proteobacteria	Alphaproteobacteria	3.17638	-	-	-	1
Actibacterium mucosum	Bacteria	Proteobacteria	Alphaproteobacteria	3.71534	-	-	-	1
Actinoalloteichus cyanogriseus	Bacteria	Actinobacteria	Actinobacteria	6.3196	-	-	-	3
Actinoalloteichus spitiensis	Bacteria	Actinobacteria	Actinobacteria	5.70653	-	-	-	1
Actinobacillus capsulatus	Bacteria	Proteobacteria	Gammaproteobacteria	2.62114	-	-	-	1
Actinobacillus minor	Bacteria	Proteobacteria	Gammaproteobacteria	2.42526	-	-	-	2
Actinobacillus pleuropneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	2.3755	1	-	10	16
Actinobacillus succinogenes	Bacteria	Proteobacteria	Gammaproteobacteria	2.31966	1	-	-	1
Actinobacillus suis	Bacteria	Proteobacteria	Gammaproteobacteria	2.5016	1	-	-	2
Actinobacillus ureae	Bacteria	Proteobacteria	Gammaproteobacteria	2.35447	-	-	-	1
actinobacterium acAcidi	Bacteria	Actinobacteria	Actinobacteria	2.69066	-	-	-	1
actinobacterium acAMD-2	Bacteria	Actinobacteria	Actinobacteria	0.973534	-	-	-	1
actinobacterium acAMD-5	Bacteria	Actinobacteria	Actinobacteria	1.24202	-	-	-	1
actinobacterium acIB-AMD-6	Bacteria	Actinobacteria	Actinobacteria	0.523138	-	-	-	1
actinobacterium acIB-AMD-7	Bacteria	Actinobacteria	Actinobacteria	0.974884	-	-	-	1
actinobacterium acMicro-1	Bacteria	Actinobacteria	Actinobacteria	0.856461	-	-	-	1
actinobacterium acMicro-4	Bacteria	Actinobacteria	Actinobacteria	1.08365	-	-	-	1
actinobacterium LLX17	Bacteria	Actinobacteria	Actinobacteria	3.00094	-	-	-	1
actinobacterium SCGC AAA015-D07	Bacteria	Actinobacteria	Actinobacteria	0.629035	-	-	-	1
actinobacterium SCGC AAA015-M09	Bacteria	Actinobacteria	Actinobacteria	0.668084	-	-	-	1
actinobacterium SCGC AAA023-D18	Bacteria	Actinobacteria	Actinobacteria	0.753259	-	-	-	1
actinobacterium SCGC AAA023-J06	Bacteria	Actinobacteria	Actinobacteria	0.695943	-	-	-	1
actinobacterium SCGC AAA024-D14	Bacteria	Actinobacteria	Actinobacteria	0.778696	-	-	-	1
actinobacterium SCGC AAA027-D23	Bacteria	Actinobacteria	Actinobacteria	1.09139	-	-	-	1
actinobacterium SCGC AAA027-J17	Bacteria	Actinobacteria	Actinobacteria	0.966562	-	-	-	1
actinobacterium SCGC AAA027-L06	Bacteria	Actinobacteria	Actinobacteria	1.16358	-	-	-	1
actinobacterium SCGC AAA027-M14	Bacteria	Actinobacteria	Actinobacteria	0.822296	-	-	-	1
actinobacterium SCGC AAA028-A23	Bacteria	Actinobacteria	Actinobacteria	0.833294	-	-	-	1
actinobacterium SCGC AAA028-I14	Bacteria	Actinobacteria	Actinobacteria	0.628184	-	-	-	1
actinobacterium SCGC AAA028-N15	Bacteria	Actinobacteria	Actinobacteria	0.946132	-	-	-	1
actinobacterium SCGC AAA041-L13	Bacteria	Actinobacteria	Actinobacteria	1.38162	-	-	-	1
actinobacterium SCGC AAA044-D11	Bacteria	Actinobacteria	Actinobacteria	1.15458	-	-	-	1
actinobacterium SCGC AAA044-N04	Bacteria	Actinobacteria	Actinobacteria	1.28666	-	-	-	1
actinobacterium SCGC AAA278-I18	Bacteria	Actinobacteria	Actinobacteria	0.944397	-	-	-	1
actinobacterium SCGC AAA278-O22	Bacteria	Actinobacteria	Actinobacteria	1.13849	-	-	-	1
Actinobaculum	Bacteria	Actinobacteria	Actinobacteria	2.36601	-	-	-	1
Actinobaculum massiliense	Bacteria	Actinobacteria	Actinobacteria	2.03202	-	-	-	1
Actinobaculum schaalii	Bacteria	Actinobacteria	Actinobacteria	2.15931	1	-	-	3
Actinobaculum urinale	Bacteria	Actinobacteria	Actinobacteria	1.92034	-	-	-	1
Actinocatenispora sera	Bacteria	Actinobacteria	Actinobacteria	6.94724	-	-	-	1
Actinokineospora	Bacteria	Actinobacteria	Actinobacteria	7.52948	-	-	-	1
Actinokineospora enzanensis	Bacteria	Actinobacteria	Actinobacteria	8.11986	-	-	-	1
Actinokineospora inagensis	Bacteria	Actinobacteria	Actinobacteria	7.27876	-	-	-	1
Actinomadura atramentaria	Bacteria	Actinobacteria	Actinobacteria	6.71058	-	-	-	1
Actinomadura flavalba	Bacteria	Actinobacteria	Actinobacteria	6.16778	-	-	-	1
Actinomadura madurae	Bacteria	Actinobacteria	Actinobacteria	10.3089	-	-	-	2
Actinomadura oligospora	Bacteria	Actinobacteria	Actinobacteria	9.35366	-	-	-	1
Actinomadura rifamycini	Bacteria	Actinobacteria	Actinobacteria	8.38543	-	-	-	1
Actinomyces	Bacteria	Actinobacteria	Actinobacteria	3.45937	-	-	-	18
Actinomyces cardiffensis	Bacteria	Actinobacteria	Actinobacteria	2.21485	-	-	-	1
Actinomyces coleocanis	Bacteria	Actinobacteria	Actinobacteria	1.72384	-	-	-	1
Actinomyces dentalis	Bacteria	Actinobacteria	Actinobacteria	3.53139	-	-	-	1
Actinomyces europaeus	Bacteria	Actinobacteria	Actinobacteria	1.90671	-	-	-	1
Actinomyces georgiae	Bacteria	Actinobacteria	Actinobacteria	2.49802	-	-	-	2
Actinomyces gerencseriae	Bacteria	Actinobacteria	Actinobacteria	3.42002	-	-	-	1
Actinomyces graevenitzii	Bacteria	Actinobacteria	Actinobacteria	2.20573	-	-	-	2
Actinomyces israelii	Bacteria	Actinobacteria	Actinobacteria	4.02577	-	-	-	1
Actinomyces johnsonii	Bacteria	Actinobacteria	Actinobacteria	3.38792	-	-	-	2
Actinomyces massiliensis	Bacteria	Actinobacteria	Actinobacteria	3.41644	-	-	-	2
Actinomyces naeslundii	Bacteria	Actinobacteria	Actinobacteria	3.11434	-	-	-	1
Actinomyces neuii	Bacteria	Actinobacteria	Actinobacteria	2.27029	-	-	-	2
Actinomyces odontolyticus	Bacteria	Actinobacteria	Actinobacteria	2.432	-	-	-	2
Actinomyces oris	Bacteria	Actinobacteria	Actinobacteria	2.87243	-	-	-	1
Actinomyces slackii	Bacteria	Actinobacteria	Actinobacteria	3.17109	-	-	-	1
Actinomyces suimastitidis	Bacteria	Actinobacteria	Actinobacteria	2.29413	-	-	-	1
Actinomyces timonensis	Bacteria	Actinobacteria	Actinobacteria	2.93294	-	-	-	1
Actinomyces turicensis	Bacteria	Actinobacteria	Actinobacteria	1.96775	-	-	-	1
Actinomyces urogenitalis	Bacteria	Actinobacteria	Actinobacteria	2.71344	-	-	-	3
Actinomyces vaccimaxillae	Bacteria	Actinobacteria	Actinobacteria	2.33843	-	-	-	1
Actinomyces viscosus	Bacteria	Actinobacteria	Actinobacteria	3.1345	-	-	-	1
Actinomycetospora chiangmaiensis	Bacteria	Actinobacteria	Actinobacteria	5.86108	-	-	-	1
Actinoplanes	Bacteria	Actinobacteria	Actinobacteria	9.23985	1	-	-	2
Actinoplanes friuliensis	Bacteria	Actinobacteria	Actinobacteria	9.37607	1	-	-	1
Actinoplanes globisporus	Bacteria	Actinobacteria	Actinobacteria	10.9885	-	-	-	1
Actinoplanes liguriensis	Bacteria	Actinobacteria	Actinobacteria	12.4463	-	-	-	1
Actinoplanes missouriensis	Bacteria	Actinobacteria	Actinobacteria	8.77347	1	-	-	1
Actinoplanes subtropicus	Bacteria	Actinobacteria	Actinobacteria	11.2573	-	-	-	1
Actinopolymorpha alba	Bacteria	Actinobacteria	Actinobacteria	7.98371	-	-	-	1
Actinopolyspora erythraea	Bacteria	Actinobacteria	Actinobacteria	5.3599	-	-	-	1
Actinopolyspora halophila	Bacteria	Actinobacteria	Actinobacteria	5.35329	-	-	-	1
Actinopolyspora iraqiensis	Bacteria	Actinobacteria	Actinobacteria	3.89597	-	-	-	1
Actinopolyspora mortivallis	Bacteria	Actinobacteria	Actinobacteria	4.23335	-	-	-	1
Actinospica acidiphila	Bacteria	Actinobacteria	Actinobacteria	7.30927	-	-	-	1
Actinospica robiniae	Bacteria	Actinobacteria	Actinobacteria	9.91889	-	-	-	1
Actinosynnema mirum	Bacteria	Actinobacteria	Actinobacteria	8.24814	1	-	-	1
Actinosynnema pretiosum	Bacteria	Actinobacteria	Actinobacteria	7.96532	-	-	-	1
Actinotalea ferrariae	Bacteria	Actinobacteria	Actinobacteria	3.98708	-	-	-	1
Adhaeribacter aquaticus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.16809	-	-	-	1
Adlercreutzia equolifaciens	Bacteria	Actinobacteria	Actinobacteria	2.86253	1	-	-	1
Advenella kashmirensis	Bacteria	Proteobacteria	Betaproteobacteria	4.84603	1	-	1	2
Advenella mimigardefordensis	Bacteria	Proteobacteria	Betaproteobacteria	4.76413	1	-	1	1
Aequorivita capsosiphonis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.0429	-	-	-	1
Aequorivita sublithincola	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.52067	1	-	-	1
Aerococcus urinae	Bacteria	Firmicutes	Bacilli	2.08097	1	-	-	1
Aerococcus urinaeequi	Bacteria	Firmicutes	Bacilli	1.99213	-	-	-	1
Aerococcus viridans	Bacteria	Firmicutes	Bacilli	2.00585	-	-	-	2
Aeromicrobium marinum	Bacteria	Actinobacteria	Actinobacteria	3.07984	1	-	-	1
Aeromicrobium massiliense	Bacteria	Actinobacteria	Actinobacteria	6.75926	-	-	-	2
Aeromonas	Bacteria	Proteobacteria	Gammaproteobacteria	4.84175	-	-	-	5
Aeromonas caviae	Bacteria	Proteobacteria	Gammaproteobacteria	4.84757	-	-	1	2
Aeromonas dhakensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.87787	-	-	1	2
Aeromonas diversa	Bacteria	Proteobacteria	Gammaproteobacteria	4.02642	-	-	-	1
Aeromonas enteropelogenes	Bacteria	Proteobacteria	Gammaproteobacteria	4.05408	-	-	-	1
Aeromonas hydrophila	Bacteria	Proteobacteria	Gammaproteobacteria	5.11106	1	-	9	22
Aeromonas jandaei	Bacteria	Proteobacteria	Gammaproteobacteria	4.47809	-	-	-	1
Aeromonas media	Bacteria	Proteobacteria	Gammaproteobacteria	4.78843	1	-	1	4
Aeromonas molluscorum	Bacteria	Proteobacteria	Gammaproteobacteria	4.23617	-	-	-	1
Aeromonas salmonicida	Bacteria	Proteobacteria	Gammaproteobacteria	5.04054	1	-	6	6
Aeromonas taiwanensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.23059	-	-	-	1
Aeromonas veronii	Bacteria	Proteobacteria	Gammaproteobacteria	4.68496	1	-	-	8
Aerophobetes bacterium JGI 0000014-A15	Bacteria	unclassified Bacteria	Aerophobetes	0.368019	-	-	-	1
Aerophobetes bacterium JGI 0000014-C22	Bacteria	unclassified Bacteria	Aerophobetes	0.428566	-	-	-	1
Aerophobetes bacterium SCGC AAA255-F10	Bacteria	unclassified Bacteria	Aerophobetes	1.26362	-	-	-	1
Aestuariibacter salexigens	Bacteria	Proteobacteria	Gammaproteobacteria	3.78384	-	-	-	1
Aestuariimicrobium kwangyangense	Bacteria	Actinobacteria	Actinobacteria	2.99015	-	-	-	1
Afifella pfennigii	Bacteria	Proteobacteria	Alphaproteobacteria	3.87259	-	-	-	1
Afipia	Bacteria	Proteobacteria	Alphaproteobacteria	5.13331	-	-	-	11
Afipia birgiae	Bacteria	Proteobacteria	Alphaproteobacteria	5.33415	-	-	-	1
Afipia broomeae	Bacteria	Proteobacteria	Alphaproteobacteria	5.26197	-	-	-	1
Afipia clevelandensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.39955	-	-	-	1
Afipia felis	Bacteria	Proteobacteria	Alphaproteobacteria	4.20329	-	-	-	1
Agarivorans albus	Bacteria	Proteobacteria	Gammaproteobacteria	4.73428	-	-	-	1
Aggregatibacter	Bacteria	Proteobacteria	Gammaproteobacteria	2.01662	-	-	-	1
Aggregatibacter actinomycetemcomitans	Bacteria	Proteobacteria	Gammaproteobacteria	2.40274	2	-	2	21
Aggregatibacter aphrophilus	Bacteria	Proteobacteria	Gammaproteobacteria	2.31304	1	-	-	3
Aggregatibacter segnis	Bacteria	Proteobacteria	Gammaproteobacteria	2.01201	-	-	-	1
Agrobacterium	Bacteria	Proteobacteria	Alphaproteobacteria	5.57377	2	-	1	6
Agrobacterium albertimagni	Bacteria	Proteobacteria	Alphaproteobacteria	5.08506	-	-	-	1
Agrobacterium fabrum	Bacteria	Proteobacteria	Alphaproteobacteria	5.67426	2	-	2	1
Agrobacterium larrymoorei	Bacteria	Proteobacteria	Alphaproteobacteria	5.16333	-	-	-	1
Agrobacterium rhizogenes	Bacteria	Proteobacteria	Alphaproteobacteria	7.77453	-	-	2	4
Agrobacterium rubi	Bacteria	Proteobacteria	Alphaproteobacteria	5.29338	-	-	-	1
Agrobacterium tumefaciens	Bacteria	Proteobacteria	Alphaproteobacteria	7.2733	2	-	5	13
Agrobacterium vitis	Bacteria	Proteobacteria	Alphaproteobacteria	6.32095	2	-	5	1
Agrococcus lahaulensis	Bacteria	Actinobacteria	Actinobacteria	2.67784	-	-	-	1
Agrococcus pavilionensis	Bacteria	Actinobacteria	Actinobacteria	2.8784	-	-	-	1
Agromyces italicus	Bacteria	Actinobacteria	Actinobacteria	3.7305	-	-	-	1
Agromyces subbeticus	Bacteria	Actinobacteria	Actinobacteria	4.30392	-	-	-	1
Ahrensia	Bacteria	Proteobacteria	Alphaproteobacteria	3.73105	-	-	-	2
Ahrensia kielensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.36477	-	-	-	1
Akkermansia muciniphila	Bacteria	Chlamydiae/Verrucomicrobia group	Verrucomicrobia	2.6641	1	-	-	2
Alcaligenes	Bacteria	Proteobacteria	Betaproteobacteria	4.28184	-	-	-	2
Alcaligenes faecalis	Bacteria	Proteobacteria	Betaproteobacteria	4.24831	-	-	-	3
Alcanivorax	Bacteria	Proteobacteria	Gammaproteobacteria	4.74386	-	-	-	6
Alcanivorax borkumensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.12014	1	-	-	1
Alcanivorax dieselolei	Bacteria	Proteobacteria	Gammaproteobacteria	4.92822	1	-	-	1
Alcanivorax hongdengensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.66488	-	-	-	1
Alcanivorax jadensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.62937	-	-	-	1
Alcanivorax pacificus	Bacteria	Proteobacteria	Gammaproteobacteria	4.13744	-	-	-	1
Algibacter lectus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.81598	-	-	-	2
Algicola sagamiensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.34128	-	-	-	1
Algiphilus aromaticivorans	Bacteria	Proteobacteria	Gammaproteobacteria	3.80568	-	-	-	1
Algoriphagus machipongonensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.78772	1	-	-	1
Algoriphagus mannitolivorans	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.15295	-	-	-	1
Algoriphagus marincola	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.43168	-	-	-	2
Algoriphagus terrigena	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.78338	-	-	-	1
Algoriphagus vanfongensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.71206	-	-	-	1
Aliagarivorans marinus	Bacteria	Proteobacteria	Gammaproteobacteria	4.87835	-	-	-	1
Aliagarivorans taiwanensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.41327	-	-	-	1
Alicycliphilus	Bacteria	Proteobacteria	Betaproteobacteria	3.00778	-	-	-	1
Alicycliphilus denitrificans	Bacteria	Proteobacteria	Betaproteobacteria	5.07075	1	-	2	2
Alicyclobacillus acidocaldarius	Bacteria	Firmicutes	Bacilli	3.20569	1	-	3	3
Alicyclobacillus acidoterrestris	Bacteria	Firmicutes	Bacilli	4.06355	-	-	-	1
Alicyclobacillus contaminans	Bacteria	Firmicutes	Bacilli	3.27232	-	-	-	1
Alicyclobacillus herbarius	Bacteria	Firmicutes	Bacilli	3.31051	-	-	-	1
Alicyclobacillus hesperidum	Bacteria	Firmicutes	Bacilli	2.96716	-	-	-	1
Alicyclobacillus macrosporangiidus	Bacteria	Firmicutes	Bacilli	4.09165	-	-	-	1
Alicyclobacillus pohliae	Bacteria	Firmicutes	Bacilli	3.36352	-	-	-	1
Alicyclobacillus pomorum	Bacteria	Firmicutes	Bacilli	3.39856	-	-	-	1
Aliihoeflea	Bacteria	Proteobacteria	Alphaproteobacteria	4.14324	-	-	-	1
Aliivibrio fischeri	Bacteria	Proteobacteria	Gammaproteobacteria	4.50334	2	-	4	4
Aliivibrio logei	Bacteria	Proteobacteria	Gammaproteobacteria	5.28811	-	-	-	2
Aliivibrio salmonicida	Bacteria	Proteobacteria	Gammaproteobacteria	4.65566	2	-	4	1
Alishewanella aestuarii	Bacteria	Proteobacteria	Gammaproteobacteria	3.58805	-	-	-	1
Alishewanella agri	Bacteria	Proteobacteria	Gammaproteobacteria	3.49171	-	-	-	1
Alishewanella jeotgali	Bacteria	Proteobacteria	Gammaproteobacteria	3.83136	-	-	-	1
Alistipes	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.61109	-	-	-	2
Alistipes finegoldii	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.73424	1	-	-	1
Alistipes indistinctus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	2.85543	-	-	-	1
Alistipes onderdonkii	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.86565	-	-	-	1
Alistipes putredinis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	2.55068	-	-	-	1
Alistipes senegalensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.01761	-	-	-	1
Alistipes shahii	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.76332	1	-	-	1
